reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
53b5af03-9c0e-4334-beff-37846e78b29e,Mlungisi Zisongo,https://play-lh.googleusercontent.com/a-/ALV-UjUaFu1Fu8odDxIXFVPseZ5BTIZXTAcUEPbNCPBb16O0_dPC9h8V,best,5,0,15.7.1,2024-05-10 00:27:31,,,15.7.1
deaeb837-3b72-40bf-a3f0-d8cc0100b3f4,Jason,https://play-lh.googleusercontent.com/a/ACg8ocJuVJGJsut7agr8S7eTQiboqH5fNq7fIm1lfBxP0yQrPjK0pQ=mo,Mostly scammers. If they want you to use WhatsApp = scammer. Snap = pay to play. Instagram = looking for followers. Most of the people I see end up being outside of my distance preferences after I like their profile. Everyone is local until you match.,1,0,15.7.1,2024-05-10 00:03:26,,,15.7.1
12900440-8b13-447c-83da-7fe0a04c99f2,Bill F,https://play-lh.googleusercontent.com/a/ACg8ocKqCjk3fP-jRe4idir-IQCetInFN21lFLEgACNK3K3u_n9POw=mo,"So far, I only met with one of the matches. Others messages and matches have disappeared, and paying for it doesn't seem to help chances. I tried premium for a couple of days and not really getting any matches when I was getting likes and matches without paying what's the deal",2,0,15.7.1,2024-05-09 23:41:05,,,15.7.1
581f07ae-eacb-4b6b-82f0-51719f4f0bed,John A,https://play-lh.googleusercontent.com/a-/ALV-UjV1OR-nagnWLfjnFgeHlVPf7ccu0VSz6RmFwDQrJzQCC4hwd-4PyQ,"Likes don't seem to be sending. I see the same people multiple times and when I go to view ""likes sent"" it's empty. Delete account fails.",1,1,15.7.1,2024-05-09 23:22:20,,,15.7.1
4a2c271d-4b60-41dc-ab77-0ce3d53c75ed,Shaun S,https://play-lh.googleusercontent.com/a-/ALV-UjXVKJqoDExVSeq2k_SsmnBwu-JA76U2sPFRKKFuDbB-46B4s5gwrQ,"Damn someone really F'd up this time. Look at that rating just tank. Hello.... Developers.... we all HATE what you are doing to this app. 4/19/21, 5/9/24 Came back out of boredom. I'm sticking with 1 star.",1,369,15.7.1,2024-05-09 23:16:01,,,15.7.1
1f120177-54f8-47cc-acd4-16ac5560f5a2,Tahlee Lonebear,https://play-lh.googleusercontent.com/a-/ALV-UjVuOlym1oErNmIVfkzN6WZ0EHl7QKM4tUQ77K3Xk6amo4I95njv,It's just filled with girls advertising there onlyfans account and it's just annoying,1,0,15.7.1,2024-05-09 23:01:35,,,15.7.1
919454eb-aa4b-41ff-9512-ec24e3b8b5d6,Eight thousand,https://play-lh.googleusercontent.com/a-/ALV-UjWb7Ti_Y_phM31aCUA4YsaR_qkx7ivbQzvYZl4fD2NAIzd_KXeX,👍,4,0,15.7.1,2024-05-09 22:58:25,,,15.7.1
b9bf2ef3-d420-46b3-9061-98d37b8d694d,Masahiro Yamada,https://play-lh.googleusercontent.com/a/ACg8ocLd1T8iIdC0v-dRMYPZFsrweVcnGSDsvOc7cYj3X40HqU-qxA=mo,"It's a scam. Tinder will Shadow ban you so your profile isn't visible but still take your money. When contacting them they say your account is fine but using a different sim-card to log in, it says you are banned. They just lie to keep you paying even though nobody can see your profile.",1,1,15.7.1,2024-05-09 22:46:53,,,15.7.1
c8d2fab2-1944-43b2-9bb1-cf456e2eb26a,Michael Wilson,https://play-lh.googleusercontent.com/a-/ALV-UjVW5gjN79DqiJ4iSACz1wvW87o487imhv1infE2l-6TO_mhiSyE,"HORRIBLE CUSTOMER SERVICE! Paid for Platinum, used about a month. No updates, I get logged out, and I can't recover my account even though I use the same email for everything, and they won't respond to help me out.",1,0,15.7.1,2024-05-09 22:40:46,,,15.7.1
ff34a2fc-b728-416f-998b-b135d93e4bea,James Dean Martin,https://play-lh.googleusercontent.com/a/ACg8ocLFlw7R68UMDMWmiAI8KgtvfOKUdpeIR_tNt6uvFfhsne9NZQ=mo,Not sure if tinder just hides my profile even though I've paid for gold. E.g. Spent 5 days in a major city and 0 likes. None of my recent matches reply. don't waste your money on this app,1,8,15.7.1,2024-05-09 22:29:56,,,15.7.1
4df4face-b696-431a-941b-7427c47e3e27,Sibongiseni Ngubane,https://play-lh.googleusercontent.com/a/ACg8ocLM1kMhra9Gv0v7ncTXSSckhuj6e-pccooIdbyhlV4reC9fDQ=mo,am a cool guy,1,0,15.7.1,2024-05-09 22:06:28,,,15.7.1
e369f8c7-255d-4d82-99e3-16b69a002675,brian onyango,https://play-lh.googleusercontent.com/a/ACg8ocK2ChkvMYQNE4x57tN4CekyxmAlS9PEtRUZdLo4oJRVR2vWwQ=mo,Just perfect,4,0,15.7.1,2024-05-09 21:45:46,,,15.7.1
1d09806a-3775-4739-a755-689f2cbc4622,Santiago Snipe,https://play-lh.googleusercontent.com/a/ACg8ocKc46hVoyVCZnEnsvX7c_EVt23kbilb0urA3Dljegey_Wyb7Q=mo,"I need help, the support doesn't have the answers I need, I can't verify the photo, I don't know why, I tried for 2 hours installing and uninstalling the App, changing the light, etc, I don't know what else to do, please, I need humans working on Tinder to answer my questions via Mail or chat, not a chat bot, Not a forum, I need a human. Thank you.",1,1,,2024-05-09 21:28:19,,,
2717c028-4c83-4261-823d-70195322fcae,Chris Akudo,https://play-lh.googleusercontent.com/a-/ALV-UjWoiGnEZSoXE3EyuWqGZW2Vjf-_dgR-r5yCQ-u2GYpWdbTdXbKQ,I match with someone we start talking next thing I know the chat disappears and it's always the good conversations that vanishes never the stupid ones,1,0,15.6.1,2024-05-09 21:22:47,,,15.6.1
53e3711a-9e6c-4208-abc4-fd0028923b3b,Sabrina Reyes,https://play-lh.googleusercontent.com/a/ACg8ocJMADTkSduMLthMyk07EpbvMOLDkZmb5JORABmGEogbxJEYZQ=mo,Stupid,1,0,15.7.1,2024-05-09 21:16:25,,,15.7.1
bc46e5b7-6ac3-428d-b6c8-6f86a5465407,xandrer,https://play-lh.googleusercontent.com/a-/ALV-UjU3QSlzcJHpj5cxhPIBlqYhV091qcAs-tYlomK2FwdiQV-Odspa,"Pay-to-match app. Visibility almost null, unless you pay. With the free version I got to see only passport mode, people only from other countries, even though this is possible to see only if you pay, which is strange as I have the free version",1,8,15.7.1,2024-05-09 21:14:00,,,15.7.1
25254620-c95b-4561-9ab8-d9bed4e12ab3,- Chev'Z,https://play-lh.googleusercontent.com/a-/ALV-UjUHgpBk9Jhc408_vH5-HqdDP6VttGeL4mmexSHWEyTdDb8hozVL,"I cant use my Tinder its saying error message 500, help!",2,0,15.7.1,2024-05-09 21:10:26,,,15.7.1
d6b05bcd-bf4d-4f96-be5e-41979e7de147,Việt Thắng Trần,https://play-lh.googleusercontent.com/a-/ALV-UjXDACEOLCzNYOP6vDxSsst7u0FOJU-YfEjcYK6wvHtemKLfd6gJ,Tinder banned my premium account with absolute zero explaination to it,1,2,12.6.0,2024-05-09 21:01:26,,,12.6.0
6628bbd0-69b6-4aa1-a248-bea64e8623de,cody,https://play-lh.googleusercontent.com/a/ACg8ocKyTAsc2SpNbi5ObnXdiaVLcOFdGJEyx83vwJ9EBnf2VeMJ=mo,You have to swipe left on all the profiles without a blue stamp with check mark cause they're 100% fake. All the top picks are there to waste your limited likes. You'll probably have to get platinum to find someone your speed and unsubcribe that month. The key is freedom to message.,2,0,15.7.1,2024-05-09 20:58:09,,,15.7.1
838ef447-093c-4a97-a5b6-9ff1ff017c2e,mark Caulker,https://play-lh.googleusercontent.com/a-/ALV-UjWP0Hii3PQFfGpTsEclmBenzJsUQgGKt2U-U-rDtkdqk2qta7B8,too many Tinder passport selections,1,0,15.7.1,2024-05-09 20:47:34,,,15.7.1
60e4b827-3333-419e-8c7c-93be3d12b2b8,S Abe,https://play-lh.googleusercontent.com/a/ACg8ocJySHY3b57JvCSpvKhDqkM2zJs2-0G5LgWsYGPteujhpok1Iw=mo,"Worse than it's ever been. Ought to be sued, audited, and broken up by government regulators.",1,0,15.7.1,2024-05-09 20:47:18,,,15.7.1
